DEPT,SP,CALM,CALD,CALN,GR,MINV,MNOR,LWTLB,DRHO,SFL,RHOB,NPLS,PE,CILD,ILD,DPLS,PIRM
2956.5,-44.1,8.68,8.91,8.88,19.67,5.72,7.73,1017.5,0.04,9.44,2.33,23.51,2.59,509.39,1.96,22.26,2.69
2957.0,-43.81,8.68,8.91,8.88,20.31,7.97,11.43,1014.78,0.06,10.23,2.36,18.99,2.58,488.43,2.05,20.3,2.67
2957.5,-43.02,8.69,8.91,8.9,21.79,9.19,13.14,1014.21,0.05,9.45,2.4,13.99,2.47,472.33,2.12,18.09,2.45
2958.0,-41.9,8.68,8.91,8.94,23.85,9.01,13.18,1015.08,0.03,8.03,2.4,12.59,2.3,465.88,2.15,18.29,2.2
2958.5,-40.59,8.67,8.91,8.92,24.33,6.58,9.5,1015.46,0.01,7.17,2.37,16.65,2.28,474.31,2.11,19.95,2.05
2959.0,-39.15,8.67,8.91,8.91,25.17,5.58,8.11,1012.91,0.02,7.01,2.36,22.58,2.48,496.08,2.02,20.66,2.01
2959.5,-37.85,8.67,8.91,8.9,27.86,5.62,7.84,1007.1,0.03,6.95,2.36,23.11,2.69,524.73,1.91,20.44,2.04
2960.0,-37.12,8.67,8.91,8.9,28.29,5.31,7.6,1000.42,0.03,6.56,2.36,20.63,2.71,547.41,1.83,20.6,2.09
2960.5,-37.17,8.67,8.91,8.91,26.75,5.1,7.2,995.45,0.03,6.08,2.34,20.01,2.51,554.78,1.8,21.38,2.11
2961.0,-37.79,8.67,8.91,8.9,26.33,4.9,7.23,991.43,0.04,5.74,2.34,21.79,2.27,543.61,1.84,21.47,2.12
2961.5,-38.57,8.66,8.91,8.91,27.97,5.02,7.02,986.92,0.04,5.43,2.35,23.8,2.17,517.94,1.93,21.32,2.14
2962.0,-39.21,8.66,8.91,8.91,28.74,5.2,7.14,981.83,0.03,5.24,2.32,25.34,2.25,485.45,2.06,22.92,2.23
2962.5,-39.55,8.66,8.91,8.9,25.58,5.22,6.87,977.12,0.01,5.4,2.27,26.54,2.45,449.57,2.22,25.9,2.44
2963.0,-39.68,8.66,8.91,9.0,23.42,5.36,6.94,973.03,-0.0,6.22,2.2,26.95,2.57,410.23,2.44,29.79,2.85
2963.5,-39.91,8.66,8.91,9.1,24.13,4.38,5.77,969.92,-0.01,8.07,2.12,28.18,2.5,366.14,2.73,34.51,3.52
2964.0,-40.34,8.68,8.9,8.9,25.71,4.04,4.98,968.42,0.01,10.83,2.06,29.31,2.43,316.8,3.16,37.81,4.47
2964.5,-40.86,8.67,8.9,8.88,25.19,4.6,6.12,967.84,0.08,14.09,2.13,27.35,2.41,265.58,3.77,33.72,5.63
